Label,Httpchk,Rank,domain_registration_length,age_domain,ssl,Having_IP,URL_Length,urlpath_length,Host_Length,Tokens,No_of_specialchar,No_of_slash,No_of_hyphen,Dots_in_url,Security_sensitive,getASN,tiny_url,Redirection_//_symbol,i_frame,links_in_tags,url_of_anchor
0,0,0,-1,-1,0,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,30,102
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,15,285
0,0,0,0,0,0,0,0,0,23,4,5,0,0,0,0,-1,0,0,0,8,375
0,0,0,0,0,-1,0,0,0,11,4,5,0,0,0,0,-1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,15,4,5,0,0,0,0,9498,0,0,0,2,59
0,0,0,1,0,0,0,0,0,12,4,5,0,0,0,0,4766,0,0,0,0,214
0,0,0,1,0,-1,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,-1,-1,-1,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,-1,-1,-1,1,0,0,0,18,4,5,0,0,0,0,-1,1,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,20940,0,0,0,29,80
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,7,-1
0,0,0,0,0,0,0,0,0,12,4,5,0,0,0,0,-1,0,0,0,9,472
0,0,0,0,0,0,0,0,0,16,4,5,0,0,0,0,2914,0,0,0,4,200
0,0,0,-1,-1,1,0,0,0,15,4,5,0,0,0,0,38631,0,0,-1,-1,-1
0,0,0,1,-1,0,0,0,0,10,4,5,0,0,0,0,2914,0,0,0,0,421
0,0,0,1,-1,-1,0,0,0,19,4,5,0,0,0,0,9498,0,0,0,0,0
0,0,0,-1,-1,0,0,0,0,21,4,5,0,0,0,0,-1,0,0,0,7,100
0,0,0,-1,-1,1,0,0,0,12,4,5,0,0,0,0,15133,0,0,-1,-1,-1
0,0,0,1,0,0,0,0,0,16,4,5,0,0,0,0,31549,0,0,0,3,724
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,8891,0,0,0,2,99
0,0,0,0,0,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,5,107
0,0,0,-1,-1,-1,0,0,0,21,4,5,0,0,0,0,13335,1,0,0,0,9
0,0,0,0,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,2,65
0,0,0,1,-1,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,31,72
0,0,0,1,-1,1,0,0,0,16,4,5,0,0,0,0,38631,0,0,-1,-1,-1
0,0,-1,0,-1,-1,0,0,0,15,4,5,0,0,0,0,47541,0,0,0,0,1
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,27647,0,0,0,66,82
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,4436,0,0,0,12,0
0,0,0,0,0,0,0,0,0,14,4,5,0,0,0,0,-1,1,0,0,1,126
0,0,1,-1,-1,0,0,0,0,10,4,5,0,0,0,0,-1,0,0,0,0,3
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,31377,0,0,0,7,252
0,0,0,-1,-1,1,0,0,0,19,5,6,0,0,0,0,9924,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,-1,-1,0,0,0,4,11,4,6,0,0,0,0,-1,0,0,0,6,109
0,1,0,-1,-1,0,0,0,1,11,4,6,0,0,0,0,-1,0,0,0,0,231
0,0,0,-1,-1,0,0,0,0,19,4,5,0,0,0,0,-1,0,0,0,19,186
0,0,0,1,0,0,0,0,0,18,4,5,0,0,0,0,-1,0,0,0,3,3
0,0,0,1,0,0,0,0,0,19,4,5,0,0,0,0,-1,0,0,0,1,79
0,0,0,0,-1,0,0,0,0,10,4,5,0,0,0,0,30633,1,0,0,9,150
0,0,0,-1,-1,0,0,0,0,10,4,5,0,0,0,0,-1,1,0,0,1,34
0,1,1,1,0,0,0,0,1,13,4,6,0,0,0,0,42926,0,0,0,0,20
0,0,0,-1,-1,0,0,0,0,10,4,5,0,0,0,0,16509,0,0,0,4,57
0,0,0,0,0,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,8,537
0,0,0,-1,-1,0,0,0,0,20,4,5,0,0,0,0,2516,0,0,0,2,207
0,0,0,-1,-1,1,0,0,0,16,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,17,4,5,0,0,0,0,9498,0,0,0,24,176
0,0,0,0,-1,0,0,0,0,22,4,5,0,0,0,0,9498,0,0,0,10,260
0,0,0,0,0,0,0,0,0,16,4,5,0,0,0,0,38621,1,0,0,10,58
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,20940,0,0,0,5,116
0,0,0,1,-1,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,0,140
0,0,0,-1,-1,0,0,0,0,11,4,5,0,0,0,0,-1,0,0,0,2,18
0,0,0,0,0,0,0,0,0,23,4,5,0,0,0,0,9498,0,0,0,82,166
0,0,1,-1,-1,1,0,0,0,16,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,1,0,0,0,0,0,18,4,5,0,0,0,0,9498,0,0,0,15,28
0,0,0,-1,-1,0,0,0,0,23,5,6,0,0,0,0,-1,0,0,0,1,111
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,-1,-1,-1,0,0,0,0,19,5,6,0,0,0,0,15169,1,0,0,16,16
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,16,4,5,0,0,0,0,20940,0,0,0,3,1159
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,17974,0,0,0,3,77
0,0,0,-1,-1,0,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,1,491
0,0,0,-1,-1,0,0,0,0,18,4,5,0,0,0,0,-1,0,0,0,2,250
0,1,0,0,-1,0,0,0,24,11,7,8,0,0,0,0,-1,0,0,0,3,60
0,1,0,1,0,0,0,1,44,22,10,12,0,0,0,0,-1,0,0,0,5,23
0,0,1,0,0,1,0,0,0,17,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,19,4,5,0,0,0,0,9498,0,0,0,106,71
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,62,845
0,0,0,0,-1,0,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,13,60
0,0,0,1,-1,0,0,0,0,14,4,5,0,0,0,0,9498,0,0,0,56,7
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,9498,0,0,0,1,86
0,0,0,0,-1,-1,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,-1,-1,0,0,0,0,15,5,6,0,1,0,1,6805,0,0,0,8,82
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,5,138
0,0,0,0,0,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,1,0
0,0,0,-1,-1,0,0,0,0,18,4,5,0,0,0,0,54618,0,0,0,7,337
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,30633,0,0,0,3,4
0,0,-1,1,0,-1,0,0,0,21,4,5,0,0,0,0,237,0,0,0,0,0
0,0,0,-1,-1,1,0,0,0,16,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,10,4,5,0,0,0,0,7643,0,0,0,1,510
0,0,-1,0,0,0,0,0,0,21,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,19,4,5,0,0,0,0,-1,0,0,0,14,630
0,0,-1,1,0,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,6,13
0,0,0,-1,-1,0,0,0,0,23,5,6,0,1,0,0,20446,0,0,0,18,0
0,0,0,0,0,1,0,0,0,12,4,5,0,0,0,0,39572,0,0,-1,-1,-1
0,0,0,-1,-1,1,0,0,0,21,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,20940,0,0,0,7,103
0,1,0,0,0,0,0,1,28,20,8,9,0,0,0,0,-1,0,0,0,9,60
0,1,1,1,0,-1,0,0,16,15,6,7,0,0,0,0,17225,0,0,0,0,0
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,2914,1,0,0,7,24
0,0,0,-1,-1,-1,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,1,1
0,0,0,-1,-1,-1,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,0,1
0,0,0,-1,-1,0,0,0,0,13,5,6,0,0,0,0,-1,0,0,0,6,0
0,0,0,-1,-1,0,0,0,0,11,4,5,0,0,0,0,13238,0,0,0,1,14
0,0,0,0,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,7,145
0,0,0,-1,-1,0,0,0,0,15,5,6,0,0,0,0,-1,0,0,0,3,87
0,0,0,1,0,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,1,4
0,0,0,-1,-1,0,0,0,0,16,5,6,0,0,0,0,-1,0,0,0,3,341
0,0,0,1,0,0,0,0,0,17,4,5,0,0,0,0,32475,0,0,0,4,55
0,0,0,-1,-1,0,0,0,0,10,4,5,0,0,0,0,-1,0,0,0,30,105
0,0,0,0,-1,-1,0,0,0,20,5,6,0,0,0,0,30213,0,0,0,0,5
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,1741,0,0,0,26,73
0,0,0,1,0,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,0,1
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,2914,0,0,0,1,68
0,0,-1,1,0,1,0,0,0,15,4,5,0,0,0,0,-1,1,0,-1,-1,-1
0,1,1,-1,-1,-1,0,0,1,15,4,6,0,0,0,0,-1,0,0,0,0,4
0,1,1,-1,-1,0,0,0,1,15,4,6,0,0,0,0,15003,0,0,0,6,197
0,0,0,-1,-1,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,6,521
0,0,0,0,0,1,0,0,0,12,4,5,0,0,0,0,4847,0,0,-1,-1,-1
0,0,-1,1,0,1,0,0,0,15,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,1,0,0,1,0,0,0,15,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,0,-1,0,0,0,0,17,4,5,0,0,0,0,3,0,0,0,1,0
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,26,213
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,16,4,5,0,0,0,0,31377,0,0,0,2,108
0,0,0,1,0,0,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,4,277
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,9583,0,0,0,1,3
0,0,0,-1,-1,0,0,0,0,15,4,5,0,0,0,0,2516,0,0,0,10,0
0,0,0,1,0,1,0,0,0,12,4,5,0,0,0,0,15133,0,0,-1,-1,-1
0,0,-1,-1,-1,-1,0,0,0,18,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,18,4,5,0,0,0,0,-1,0,0,0,14,56
0,0,0,-1,-1,-1,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,12,4,5,0,0,0,0,9498,0,0,0,0,2
0,0,0,0,-1,0,0,0,0,11,4,5,0,0,0,0,15133,0,0,0,19,57
0,0,0,0,0,0,0,0,0,23,4,5,0,0,0,0,-1,0,0,0,40,21
0,0,0,1,-1,0,0,0,0,18,4,5,0,0,0,0,-1,0,0,0,3,38
0,0,0,0,-1,0,0,0,0,11,4,5,0,0,0,0,-1,1,0,0,21,143
0,0,0,1,-1,0,0,0,0,18,4,5,0,0,0,0,-1,0,0,0,0,6
0,0,0,1,-1,0,0,0,0,12,4,5,0,0,0,0,9498,0,0,0,29,25
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,2,51
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,38631,0,0,0,0,1
0,0,0,0,0,0,0,0,0,20,4,5,0,0,0,0,-1,0,0,0,13,297
0,0,0,0,-1,-1,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,1,1
0,0,0,-1,-1,1,0,0,0,18,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,6,76
0,0,0,-1,-1,0,0,0,0,22,4,5,0,0,0,0,4436,0,0,0,4,89
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,-1,0,0,0,15,104
0,0,0,0,0,0,0,0,0,10,4,5,0,0,0,0,-1,0,0,0,2,42
0,0,0,1,-1,0,0,0,0,15,4,5,0,0,0,0,40428,0,0,0,0,3
0,0,0,1,-1,0,0,0,0,12,4,5,0,0,0,0,9498,0,0,0,2,191
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,16,56
0,0,0,-1,-1,0,0,0,0,11,4,5,0,0,0,0,20940,0,0,0,17,47
0,0,0,-1,-1,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,22,1051
