Label,Httpchk,Rank,domain_registration_length,age_domain,ssl,Having_IP,URL_Length,urlpath_length,Host_Length,Tokens,No_of_specialchar,No_of_slash,No_of_hyphen,Dots_in_url,Security_sensitive,getASN,tiny_url,Redirection_//_symbol,i_frame,links_in_tags,url_of_anchor
1,1,-1,-1,-1,1,0,0,20,19,8,9,0,0,0,0,-1,0,0,-1,-1,-1
1,0,0,-1,-1,0,0,1,1,9,9,13,0,0,0,0,2914,0,0,0,0,2
1,1,-1,-1,-1,1,0,0,21,24,9,10,0,0,1,1,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,8,9,5,7,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,40,11,6,9,0,0,0,0,-1,0,0,0,3,20
1,1,-1,-1,-1,-1,0,0,19,13,6,7,0,0,0,0,-1,0,0,0,0,0
1,1,-1,-1,-1,-1,0,1,53,13,7,8,0,0,0,1,46606,0,0,0,0,0
1,1,-1,-1,-1,-1,0,1,32,19,8,9,0,0,0,1,-1,0,0,0,0,0
1,1,-1,-1,-1,1,0,1,47,18,6,8,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,50,25,11,12,0,0,0,2,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,73,29,13,14,1,0,1,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,49,25,11,12,0,0,0,1,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,20,13,6,7,0,0,0,2,-1,0,0,-1,-1,-1
1,1,0,-1,-1,-1,0,1,22,31,16,21,0,0,0,1,702,0,0,0,0,4
1,1,-1,-1,-1,1,0,1,50,24,12,14,0,2,0,1,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,0,14,16,5,7,0,0,0,0,18747,0,0,0,0,0
1,1,-1,1,-1,0,0,0,18,19,7,8,0,0,0,0,-1,1,0,0,4,102
1,0,1,-1,-1,-1,0,0,8,7,4,5,0,0,0,0,3257,0,0,0,1,4
1,1,-1,-1,-1,1,0,0,26,15,7,9,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,46,22,12,13,0,0,1,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,43,55,12,13,0,3,1,2,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,53,28,7,9,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,80,13,11,12,1,0,0,0,-1,1,0,-1,-1,-1
1,0,1,-1,-1,-1,0,1,55,18,15,16,1,0,1,2,-1,0,0,0,0,1
1,1,-1,-1,-1,-1,0,1,41,18,11,13,1,0,0,0,36351,0,0,0,0,0
1,1,0,-1,-1,0,0,1,69,22,13,14,0,0,0,0,-1,0,0,0,26,43
1,1,-1,-1,-1,-1,0,1,60,25,11,12,1,1,0,0,31034,0,0,0,0,0
1,1,-1,-1,-1,0,0,0,6,26,4,6,0,0,0,0,26347,1,0,0,0,0
1,1,1,-1,-1,0,0,0,1,16,3,5,0,0,0,0,-1,0,0,0,1,156
1,0,0,-1,-1,0,0,1,18,22,15,16,0,0,0,0,25046,1,0,0,10,252
1,1,0,1,-1,-1,0,0,1,15,4,6,0,0,0,0,-1,0,0,0,0,0
1,1,-1,-1,-1,1,0,0,4,22,5,7,0,0,0,0,-1,0,0,-1,-1,-1
1,0,0,0,-1,0,0,1,11,17,9,11,0,0,1,1,-1,0,0,0,0,8
1,1,-1,1,0,-1,0,0,21,15,8,9,0,0,0,1,36351,0,0,0,0,0
1,1,-1,-1,-1,-1,0,0,22,23,9,10,0,0,1,1,-1,0,0,0,0,0
1,1,-1,-1,-1,1,0,0,1,21,4,6,0,1,0,1,-1,0,0,-1,-1,-1
1,1,1,1,0,0,0,1,21,22,14,16,0,0,0,0,-1,0,0,0,1,0
